Camera Station,Coyote,Armadillo,Opossum,Bobcat,Stp Skunk,WT Deer,Raccoon,Feral Hog,CT Rabbit
3,1,0,1,0,0,42,3,38,0
5,16,15,4,3,0,38,6,27,1
6,4,10,31,3,0,27,1,102,34
7,3,3,1,0,0,63,15,0,3
14,3,2,4,2,0,30,6,4,27
19,1,8,1,0,0,38,5,0,2
20,3,1,0,0,0,42,2,1,0
22,0,4,1,0,0,45,4,0,1
26,7,5,0,0,1,75,1,0,15
27,4,2,4,0,0,52,6,2,0
33,2,4,0,0,0,47,0,1,0
39,2,0,0,1,0,68,1,48,0
43,8,0,2,1,0,52,3,0,0
44,4,1,3,1,0,50,6,3,3
45,2,6,1,0,0,32,7,3,0
48,0,43,9,1,7,77,21,3,0
50,1,1,1,1,0,17,0,0,11
51,4,16,12,0,0,39,14,0,10
53,0,10,28,2,0,74,3,2,10
55,0,1,0,0,0,52,0,0,0
57,1,15,0,0,0,27,2,4,0
60,0,1,1,1,0,39,1,8,1
66,0,12,0,0,0,34,2,13,1
68,1,6,6,0,0,20,20,0,4
70,6,4,2,1,0,46,4,19,1
71,1,0,0,0,0,51,1,2,0
72,1,18,10,0,2,29,3,0,1
75,1,1,0,2,0,86,3,12,5
78,0,0,0,0,0,51,1,3,0
